---------------------------------------------------------
mask ratio : 0.75;
layer name	KL divergency	accuracy
features.init_block.conv1.conv.weight	3.179792	25.0
features.init_block.conv2.conv.weight	6.4085927	1.25
features.init_block.conv3.conv.weight	6.4266267	0.5
features.init_block.conv4.conv.weight	6.1676717	1.0
features.init_block.conv5.conv.weight	8.497873	0.5
features.stage1.unit1.branches.branch1.conv.conv.weight	4.5683804	14.0
features.stage1.unit1.branches.branch2.conv_list.conv1.conv.weight	0.13344723	75.25
features.stage1.unit1.branches.branch2.conv_list.conv2.conv.weight	1.1974579	56.25
features.stage1.unit1.branches.branch3.conv_list.conv1.conv.weight	0.27854654	73.0
features.stage1.unit1.branches.branch3.conv_list.conv2.conv.weight	0.28250182	72.0
features.stage1.unit1.branches.branch3.conv_list.conv3.conv.weight	0.3767729	72.0
features.stage1.unit1.branches.branch4.conv.conv.weight	0.16515419	77.25
features.stage1.unit2.branches.branch1.conv.conv.weight	5.811128	4.75
features.stage1.unit2.branches.branch2.conv_list.conv1.conv.weight	0.14668335	78.25
features.stage1.unit2.branches.branch2.conv_list.conv2.conv.weight	0.16686979	77.25
features.stage1.unit2.branches.branch3.conv_list.conv1.conv.weight	0.18668908	71.25
features.stage1.unit2.branches.branch3.conv_list.conv2.conv.weight	1.7368225	50.25
features.stage1.unit2.branches.branch3.conv_list.conv3.conv.weight	0.14778976	77.0
features.stage1.unit2.branches.branch4.conv.conv.weight	1.8037921	46.25
features.stage1.unit3.branches.branch1.conv.conv.weight	1.6111875	50.75
features.stage1.unit3.branches.branch2.conv_list.conv1.conv.weight	0.19324623	76.75
features.stage1.unit3.branches.branch2.conv_list.conv2.conv.weight	0.113299325	75.75
features.stage1.unit3.branches.branch3.conv_list.conv1.conv.weight	0.37837836	71.75
features.stage1.unit3.branches.branch3.conv_list.conv2.conv.weight	0.20888218	73.75
features.stage1.unit3.branches.branch3.conv_list.conv3.conv.weight	0.3343545	71.0
features.stage1.unit3.branches.branch4.conv.conv.weight	6.090529	2.5
features.stage2.unit1.branches.branch1.conv_list.conv1.conv.weight	0.2089288	71.75
features.stage2.unit1.branches.branch2.conv_list.conv1.conv.weight	0.073873736	77.5
features.stage2.unit1.branches.branch2.conv_list.conv2.conv.weight	0.1267783	76.0
features.stage2.unit1.branches.branch2.conv_list.conv3.conv.weight	0.044311	78.75
features.stage2.unit2.branches.branch1.conv.conv.weight	4.36397	13.25
features.stage2.unit2.branches.branch2.conv_list.conv1.conv.weight	0.086098425	79.25
features.stage2.unit2.branches.branch2.conv_list.conv2.conv.weight	0.123393536	74.25
features.stage2.unit2.branches.branch2.conv_list.conv3.conv.weight	0.08689302	74.5
features.stage2.unit2.branches.branch3.conv_list.conv1.conv.weight	0.073020115	78.5
features.stage2.unit2.branches.branch3.conv_list.conv2.conv.weight	0.0880796	76.0
features.stage2.unit2.branches.branch3.conv_list.conv3.conv.weight	0.11514994	75.75
features.stage2.unit2.branches.branch3.conv_list.conv4.conv.weight	0.089848764	77.25
features.stage2.unit2.branches.branch3.conv_list.conv5.conv.weight	0.062088348	73.75
features.stage2.unit2.branches.branch4.conv.conv.weight	1.7343695	49.5
features.stage2.unit3.branches.branch1.conv.conv.weight	1.7705966	41.0
features.stage2.unit3.branches.branch2.conv_list.conv1.conv.weight	0.83350325	59.75
