Full precision accuracy is: 80.8
---------------------------------------------------------
mask ratio : 1;
layer name	KL divergency	accuracy
conv1.weight	4.2878556	8.6
block1_1.conv1.weight	3.4022293	26.4
block1_1.conv2.weight	2.5970023	27.0
block1_2.conv1.weight	2.5181239	27.6
block1_2.conv2.weight	1.1669368	56.2
block2_1.conv1.weight	1.6174188	46.0
block2_1.conv2.weight	0.7928352	59.0
block2_2.conv1.weight	0.6997472	61.4
block2_2.conv2.weight	0.5649104	67.4
block3_1.conv1.weight	0.77710336	62.8
block3_1.conv2.weight	0.7384753	62.8
block3_2.conv1.weight	0.09860283	80.6
block3_2.conv2.weight	0.11947053	79.0
block4_1.conv1.weight	0.5064642	72.6
block4_1.conv2.weight	0.33223194	78.0
block4_2.conv1.weight	0.10446874	81.4
block4_2.conv2.weight	0.116073854	80.8
fc1.weight	1.9256586	7.6
fc2.weight	1.9247113	11.4
---------------------------------------------------------
mask ratio : 0.875;
layer name	KL divergency	accuracy
conv1.weight	4.856499	16.4
block1_1.conv1.weight	2.3085003	41.2
block1_1.conv2.weight	1.7776486	38.6
block1_2.conv1.weight	1.4143211	50.6
block1_2.conv2.weight	0.8080186	62.2
block2_1.conv1.weight	1.2690078	49.0
block2_1.conv2.weight	0.60366017	65.0
block2_2.conv1.weight	0.4442193	71.2
block2_2.conv2.weight	0.3549104	74.4
block3_1.conv1.weight	0.5603973	69.2
block3_1.conv2.weight	0.4922558	71.4
block3_2.conv1.weight	0.07508816	81.6
block3_2.conv2.weight	0.09004414	80.8
block4_1.conv1.weight	0.3947448	74.2
block4_1.conv2.weight	0.21526648	81.2
block4_2.conv1.weight	0.07978018	82.0
block4_2.conv2.weight	0.07379515	81.4
fc1.weight	1.2277641	79.4
fc2.weight	1.1598003	72.4
---------------------------------------------------------
mask ratio : 0.75;
layer name	KL divergency	accuracy
conv1.weight	3.1600714	29.6
block1_1.conv1.weight	1.4021277	51.0
block1_1.conv2.weight	1.4103051	46.6
block1_2.conv1.weight	0.84513444	59.2
block1_2.conv2.weight	0.4481397	70.2
block2_1.conv1.weight	0.900632	56.4
block2_1.conv2.weight	0.40775636	69.0
block2_2.conv1.weight	0.23038253	77.6
block2_2.conv2.weight	0.2530967	76.8
block3_1.conv1.weight	0.31852186	74.4
block3_1.conv2.weight	0.3119751	76.8
block3_2.conv1.weight	0.0516627	81.4
block3_2.conv2.weight	0.0599079	80.8
block4_1.conv1.weight	0.22247116	80.0
block4_1.conv2.weight	0.1431375	82.0
block4_2.conv1.weight	0.05014198	82.4
block4_2.conv2.weight	0.047873728	82.2
fc1.weight	0.6688049	78.8
fc2.weight	0.73671293	73.0
---------------------------------------------------------
mask ratio : 0.5;
layer name	KL divergency	accuracy
conv1.weight	1.2931962	50.8
block1_1.conv1.weight	0.514073	70.8
block1_1.conv2.weight	0.67329943	65.0
block1_2.conv1.weight	0.4698413	69.4
block1_2.conv2.weight	0.22539398	76.0
block2_1.conv1.weight	0.3335351	72.0
block2_1.conv2.weight	0.17058675	78.0
block2_2.conv1.weight	0.13021702	80.2
block2_2.conv2.weight	0.09753837	79.4
block3_1.conv1.weight	0.17430225	76.8
block3_1.conv2.weight	0.1257267	80.4
block3_2.conv1.weight	0.02524875	81.2
block3_2.conv2.weight	0.022764986	81.4
block4_1.conv1.weight	0.09236615	82.6
block4_1.conv2.weight	0.049687684	81.2
block4_2.conv1.weight	0.020737397	82.0
block4_2.conv2.weight	0.016296599	81.0
fc1.weight	0.15383136	81.0
fc2.weight	0.25131446	76.6
---------------------------------------------------------
mask ratio : 0.25;
layer name	KL divergency	accuracy
conv1.weight	1.2891945	53.4
block1_1.conv1.weight	0.16282947	77.6
block1_1.conv2.weight	0.1491683	77.6
block1_2.conv1.weight	0.1601285	77.4
block1_2.conv2.weight	0.055819556	80.4
block2_1.conv1.weight	0.15015717	77.6
block2_1.conv2.weight	0.049647383	80.8
block2_2.conv1.weight	0.031929314	81.0
block2_2.conv2.weight	0.039418913	82.4
block3_1.conv1.weight	0.052155167	80.4
block3_1.conv2.weight	0.034177557	80.8
block3_2.conv1.weight	0.0063274386	81.2
block3_2.conv2.weight	0.009905138	81.0
block4_1.conv1.weight	0.0224956	82.2
block4_1.conv2.weight	0.012332318	81.0
block4_2.conv1.weight	0.0057576224	80.4
block4_2.conv2.weight	0.0038627433	80.8
fc1.weight	0.031044338	80.6
fc2.weight	0.073059	78.0
---------------------------------------------------------
mask ratio : 0.125;
layer name	KL divergency	accuracy
conv1.weight	0.3234416	74.6
block1_1.conv1.weight	0.035864245	80.4
block1_1.conv2.weight	0.047038622	80.4
block1_2.conv1.weight	0.033808175	79.6
block1_2.conv2.weight	0.03429593	81.2
block2_1.conv1.weight	0.057333045	80.8
block2_1.conv2.weight	0.029168125	80.6
block2_2.conv1.weight	0.015574017	81.0
block2_2.conv2.weight	0.013319949	81.6
block3_1.conv1.weight	0.0145019805	80.6
block3_1.conv2.weight	0.0076501193	81.0
block3_2.conv1.weight	0.0025597247	80.6
block3_2.conv2.weight	0.0035783336	80.8
block4_1.conv1.weight	0.0090791825	81.4
block4_1.conv2.weight	0.0033484353	81.0
block4_2.conv1.weight	0.0016665445	81.0
block4_2.conv2.weight	0.001278208	81.0
fc1.weight	0.0069362493	80.4
fc2.weight	0.030190822	80.2
