---------------------------------------------------------
mask ratio : 0.75;
layer name	KL divergency	accuracy
features.init_block.conv.conv.weight	5.796344	4.25
features.stage1.unit1.body.conv1.conv.weight	6.4578648	0.25
features.stage1.unit1.body.conv2.conv.weight	1.323484	50.25
features.stage1.unit1.body.conv3.conv.weight	2.9266834	28.75
features.stage1.unit1.identity_conv.conv.weight	7.1856537	0.0
features.stage1.unit2.body.conv1.conv.weight	1.2469822	51.0
features.stage1.unit2.body.conv2.conv.weight	0.78892684	63.25
features.stage1.unit2.body.conv3.conv.weight	2.7538404	31.25
features.stage1.unit3.body.conv1.conv.weight	1.1177653	54.5
features.stage1.unit3.body.conv2.conv.weight	0.42225322	68.0
features.stage1.unit3.body.conv3.conv.weight	2.808037	28.25
features.stage2.unit1.body.conv1.conv.weight	0.5035168	69.5
features.stage2.unit1.body.conv2.conv.weight	2.2610884	37.0
features.stage2.unit1.body.conv3.conv.weight	0.6175845	67.25
features.stage2.unit1.identity_conv.conv.weight	4.9453826	7.25
features.stage2.unit2.body.conv1.conv.weight	0.39133388	65.75
features.stage2.unit2.body.conv2.conv.weight	0.25506124	71.5
features.stage2.unit2.body.conv3.conv.weight	0.2801101	68.5
features.stage2.unit3.body.conv1.conv.weight	0.22194782	77.5
features.stage2.unit3.body.conv2.conv.weight	0.25941133	74.5
features.stage2.unit3.body.conv3.conv.weight	0.3404785	70.0
features.stage2.unit4.body.conv1.conv.weight	0.44383988	67.75
features.stage2.unit4.body.conv2.conv.weight	0.17038202	78.0
features.stage2.unit4.body.conv3.conv.weight	1.1773051	57.5
features.stage3.unit1.body.conv1.conv.weight	0.25516358	72.5
features.stage3.unit1.body.conv2.conv.weight	2.3062978	35.0
features.stage3.unit1.body.conv3.conv.weight	0.2785538	74.0
features.stage3.unit1.identity_conv.conv.weight	1.8355609	40.75
features.stage3.unit2.body.conv1.conv.weight	0.1553759	72.75
features.stage3.unit2.body.conv2.conv.weight	0.11910957	76.25
features.stage3.unit2.body.conv3.conv.weight	0.08829063	74.75
features.stage3.unit3.body.conv1.conv.weight	0.15350237	75.5
features.stage3.unit3.body.conv2.conv.weight	0.12624902	74.5
features.stage3.unit3.body.conv3.conv.weight	0.2144739	74.5
features.stage3.unit4.body.conv1.conv.weight	0.15853406	68.5
features.stage3.unit4.body.conv2.conv.weight	0.09063187	75.5
features.stage3.unit4.body.conv3.conv.weight	0.13039762	76.5
features.stage3.unit5.body.conv1.conv.weight	0.19498868	69.0
features.stage3.unit5.body.conv2.conv.weight	0.13949183	73.5
features.stage3.unit5.body.conv3.conv.weight	0.24543642	70.0
features.stage3.unit6.body.conv1.conv.weight	0.20884366	71.0
features.stage3.unit6.body.conv2.conv.weight	0.15706275	79.0
features.stage3.unit6.body.conv3.conv.weight	0.33067828	71.25
features.stage4.unit1.body.conv1.conv.weight	0.46349707	71.75
features.stage4.unit1.body.conv2.conv.weight	0.32092392	73.0
features.stage4.unit1.body.conv3.conv.weight	0.35621905	74.5
features.stage4.unit1.identity_conv.conv.weight	1.2561796	51.75
features.stage4.unit2.body.conv1.conv.weight	0.45656762	70.25
